question,answer
How do I reset my password?,Visit the IT portal and select Forgot Password.
I cannot access my account,Visit the IT portal and select Forgot Password.
Where is the registrar office?,The registrar office is located in Building A room 210.
How do I pay tuition?,Tuition can be paid online through the student finance portal.
How do I contact technical support?,Email support@university.edu or open a ticket through the IT portal.
What are the library hours?,The library is open from 8 AM to 10 PM from Monday to Friday.
How do I register for courses?,Log into the student portal and open the course registration section.
How can I apply for scholarships?,Visit the scholarships section on the university website and submit the online application.
How do I get my student ID card?,Go to the campus card office with a government ID and your student number.
How do I drop a course?,Log into the student portal and use the add or drop course page before the deadline.
How do I book an appointment with an advisor?,Use the advising portal to choose your program and book an available time slot.
Where can I find my exam schedule?,Your exam schedule is available in the student portal under the exams section.
How do I request an official transcript?,Official transcripts can be requested through the records section of the student portal.
How do I change my address?,Update your address in the personal information section of the student portal.
How do I get proof of enrollment?,You can download proof of enrollment from the documents section of the student portal.
Where can I find financial aid information?,Financial aid information is available on the university financial aid website.
How do I report a problem with Moodle?,Contact technical support or use the help link inside Moodle.
How do I access online classes?,Online classes are available through Moodle or the learning management system.
How do I contact my professor?,Check your course outline for the professor's email and office hours.
What should I do if I miss an exam?,Contact your professor and the exams office as soon as possible.
Where is student services located?,Student services is located in the main campus service center.
How do I print on campus?,Use your student card at any campus printer and upload documents through the print portal.
Where can I get tutoring help?,Tutoring help is available through the academic support center.
How do I find important academic dates?,Academic dates are listed in the university calendar.
How do I access my student email?,Go to the university email portal and log in with your student account.
What should I do if my tuition payment is late?,Contact the finance office immediately to ask about payment options and possible late fees.
How do I appeal a grade?,Review the grade appeal policy and submit the official grade review form before the deadline.
How do I reserve a study room?,Use the library website to reserve a study room.
How do I join a student club?,Visit the student association website and check the list of active clubs.
How do I get help during a personal emergency?,Contact student services or campus security immediately for urgent support.
Where can I park on campus?,Parking information is available on the campus parking website.
